1653118888454479872,0.26691,0.03140,-0.00657,0.00656,0.99926,-0.03785,-0.00145,0.44726,0.00916,0.01635,
1653118888534439936,0.33438,0.02363,-0.02173,0.00872,0.99919,-0.03898,-0.00569,0.59519,0.03856,-0.01307,
1653118888654700032,0.48050,0.05462,-0.03432,0.00834,0.99911,-0.04097,-0.00556,0.77274,0.03644,-0.04106,
1653118888734339840,0.59454,0.02293,-0.03408,0.00566,0.99909,-0.04228,-0.00183,0.85099,-0.03315,-0.05835,
1653118888854320128,0.77068,0.02928,-0.00365,0.00788,0.99892,-0.04472,0.00977,0.87497,-0.02258,-0.03896,
1653118888934240000,0.91233,0.00365,0.03376,0.01138,0.99868,-0.04627,0.01941,0.85903,-0.03202,-0.00105,
1653118889054199808,1.11230,-0.02199,0.10050,0.01565,0.99834,-0.04815,0.02750,0.85924,-0.04814,0.07753,
1653118889134139904,1.21735,-0.03046,0.12087,0.01821,0.99821,-0.04957,0.02799,0.88833,-0.06191,0.09959,
1653118889254290176,1.36186,-0.02960,0.14293,0.02234,0.99810,-0.05131,0.02560,0.94166,-0.06102,0.10668,
1653118889333959936,1.44848,-0.03508,0.15055,0.02526,0.99799,-0.05279,0.02427,0.96792,-0.07204,0.10598,
1653118889454159872,1.59247,-0.03284,0.16531,0.02993,0.99783,-0.05454,0.02174,1.01397,-0.08137,0.10763,
1653118889533999872,1.67314,-0.04031,0.17317,0.03338,0.99764,-0.05613,0.02101,1.03504,-0.08766,0.10834,
1653118889653860096,1.80410,-0.04733,0.18841,0.03861,0.99737,-0.05813,0.01961,1.06317,-0.10101,0.11835,
1653118889733769984,1.88606,-0.05455,0.19632,0.04301,0.99712,-0.05964,0.01866,1.08124,-0.11596,0.12500,
1653118889853609984,2.02558,-0.06663,0.21149,0.04708,0.99682,-0.06172,0.01788,1.10968,-0.11798,0.14456,
1653118889933240064,2.11342,-0.07545,0.22068,0.05125,0.99654,-0.06338,0.01654,1.12418,-0.12254,0.16517,
1653118890053489920,2.26651,-0.08551,0.23164,0.05559,0.99621,-0.06539,0.01429,1.15599,-0.12983,0.15107,
1653118890133480192,2.36466,-0.09554,0.23654,0.05661,0.99608,-0.06683,0.01254,1.16616,-0.14467,0.13524,
1653118890252780032,2.52161,-0.10908,0.23812,0.05818,0.99592,-0.06818,0.01035,1.18559,-0.15623,0.13240,
1653118890332910080,2.61779,-0.11853,0.24448,0.05879,0.99585,-0.06898,0.00863,1.19465,-0.17162,0.10647,
1653118890453200128,2.76906,-0.13880,0.25218,0.05913,0.99575,-0.07010,0.00818,1.20542,-0.18902,0.08065,
1653118890532649984,2.89647,-0.16103,0.24393,0.05988,0.99569,-0.07030,0.00859,1.22113,-0.19942,0.05495,
1653118890652580096,3.06709,-0.19268,0.25034,0.06034,0.99557,-0.07141,0.00958,1.18334,-0.18917,0.07995,
1653118890732489984,3.22054,-0.22376,0.24316,0.06213,0.99540,-0.07193,0.01162,1.18357,-0.19284,0.08915,
1653118890852189952,3.38465,-0.25476,0.25467,0.06102,0.99537,-0.07316,0.01271,1.14017,-0.20062,0.09538,
1653118890932620032,3.53313,-0.29142,0.25165,0.05998,0.99536,-0.07381,0.01470,1.14021,-0.22119,0.10264,
1653118891052409856,3.74678,-0.34118,0.25796,0.05728,0.99540,-0.07498,0.01673,1.14762,-0.22718,0.07662,
1653118891132600064,3.84662,-0.36725,0.26733,0.05361,0.99549,-0.07590,0.01889,1.12108,-0.23685,0.04232,
1653118891252120064,4.03577,-0.41330,0.26826,0.05040,0.99553,-0.07687,0.02170,1.10959,-0.24755,0.01613,
1653118891331980032,4.12453,-0.44208,0.27530,0.04743,0.99557,-0.07778,0.02338,1.06483,-0.25358,0.03444,
1653118891452189952,4.32047,-0.48146,0.27885,0.04521,0.99556,-0.07930,0.02317,1.04705,-0.24729,0.05466,
1653118891532950016,4.40406,-0.50882,0.28809,0.04349,0.99555,-0.08048,0.02277,0.98805,-0.26601,0.07339,
1653118891652320000,4.60205,-0.54008,0.29468,0.03954,0.99565,-0.08193,0.02002,0.95269,-0.27846,0.05923,
1653118891732009984,4.67780,-0.57302,0.30228,0.03640,0.99568,-0.08307,0.01980,0.87360,-0.29113,0.02408,
1653118891852169984,4.85248,-0.60804,0.30264,0.03275,0.99572,-0.08456,0.01800,0.78084,-0.26818,0.02479,
1653118891931629824,4.91763,-0.63776,0.30715,0.03137,0.99568,-0.08571,0.01719,0.67400,-0.26584,0.04271,
1653118892051980032,5.06903,-0.66981,0.31060,0.02970,0.99564,-0.08727,0.01445,0.57294,-0.24865,0.06702,
1653118892131910144,5.12707,-0.69738,0.31695,0.02833,0.99557,-0.08872,0.01308,0.48281,-0.25484,0.06830,
1653118892251940096,5.26540,-0.71872,0.31687,0.02682,0.99547,-0.09064,0.01009,0.42295,-0.24766,0.03839,
1653118892331949824,5.31356,-0.75240,0.32134,0.02599,0.99536,-0.09214,0.00956,0.36709,-0.26038,0.03188,
1653118892451809792,5.43222,-0.77550,0.32335,0.02523,0.99525,-0.09380,0.00703,0.35669,-0.25283,0.00404,
1653118892531970048,5.48744,-0.80357,0.32288,0.02490,0.99510,-0.09544,0.00635,0.33873,-0.26573,-0.00093,
1653118892651889920,5.68130,-0.83074,0.31724,0.02414,0.99494,-0.09750,0.00249,0.41300,-0.27928,0.01269,
1653118892731770112,5.73115,-0.85712,0.32098,0.02345,0.99479,-0.09922,0.00162,0.39782,-0.28871,0.03802,
